EMD-53788	Map of M. pneumoniae 30S IF1/3 tRNA in chloramphenicol-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53789	Map of M. pneumoniae 30S IF2 (all, shifted) in chloramphenicol-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53797	Map of M. pneumoniae 30S IF3 in chloramphenicol-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53798	Map of M. pneumoniae 30S IF2 tRNA in chloramphenicol-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53811	Map of M. pneumoniae 30S IF1/2/3 tRNA in chloramphenicol-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53817	Map of M. pneumoniae 50S late/inactive in chloramphenicol-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53818	Map of M. pneumoniae 50S PTC flipped out, P in chloramphenicol-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53819	Map of M. pneumoniae 50S trigger factor in chloramphenicol-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53822	Map of M. pneumoniae 50S EF-Tu A/T, tmRNA-SmpB, E in chloramphenicol-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53823	Map of M. pneumoniae 70S A,P in chloramphenicol-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53824	Map of M. pneumoniae 70S a,P in chloramphenicol-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53826	Map of M. pneumoniae 70S A,P,EOUT in chloramphenicol-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53830	Map of M. pneumoniae 70S A*,P/E in chloramphenicol-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53833	Map of M. pneumoniae 70S dome complex in chloramphenicol-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53837	Map of M. pneumoniae 70S EF-Tu A/T,P in chloramphenicol-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53838	Map of M. pneumoniae 70S EF-Tu A/T,P,E in chloramphenicol-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53840	Map of M. pneumoniae 70S trigger factor in chloramphenicol-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-54986	Closed conformation dome complex including the Sec-translocon (SecYEG-SecA-SecDF) in untreated Mycoplasma pneumoniae cells	Jensen RK, Xue L, Mahamid J	REL	2026-09-23
EMD-54988	Open conformation dome complex including the Sec-translocon (SecYEG-SecA-SecDF) in untreated Mycoplasma pneumoniae cells	Jensen RK, Xue L, Mahamid J	REL	2026-09-23
EMD-55665	E.coli ribosome reconstruction from frames 1-20, dose weighted	Wazny G, Glatt S, Indyka P, Jaciuk M, Rawski M, Biela AP	REL	2026-09-23
EMD-55669	E.coli ribosome reconstruction from frames 1-40, dose weighted	Wazny G, Glatt S, Indyka P, Jaciuk M, Rawski M, Biela AP	REL	2026-09-23
EMD-55670	E.coli ribosome reconstruction from frames 1-80, dose weighted	Wazny G, Glatt S, Indyka P, Jaciuk M, Rawski M, Biela AP	REL	2026-09-23
EMD-55671	E.coli ribosome reconstruction from frames 1-20, not dose weighted	Wazny G, Glatt S, Indyka P, Jaciuk M, Rawski M, Biela AP	REL	2026-09-23
EMD-55676	human type ribosome reconstruction from frames 41-60	Wazny G, Glatt S, Indyka P, Jaciuk M, Rawski M, Biela AP	REL	2026-09-23
EMD-55677	human type ribosome reconstruction from frames 61-80	Wazny G, Glatt S, Indyka P, Jaciuk M, Rawski M, Biela AP	REL	2026-09-23
EMD-55678	human type ribosome reconstruction from frames 1-40	Wazny G, Glatt S, Indyka P, Jaciuk M, Rawski M, Biela AP	REL	2026-09-23
EMD-55679	human type ribosome reconstruction from frames 1-80	Wazny G, Glatt S, Indyka P, Jaciuk M, Rawski M, Biela AP	REL	2026-09-23
EMD-55680	human type ribosome reconstruction from frames 1-20, not dose weighted	Wazny G, Glatt S, Indyka P, Jaciuk M, Rawski M, Biela AP	REL	2026-09-23
EMD-57215	Consensus map of human DNAAF19-RUVBL1/2-DPCD	Wood E, Ochi T	REL	2026-09-23
EMD-57219	Focused map of the external DII domain of RUVBL2 in complex with DPCD	Wood E, Ochi T	REL	2026-09-23
EMD-57221	Focused map of the external DII domain of RUVBL2 in complex with DPCD	Wood E, Ochi T	REL	2026-09-23
EMD-57234	Focused map of the external DII domain of RUVBL2 in complex with DPCD	Wood E, Ochi T	REL	2026-09-23
EMD-57238	Focused map of the external DII domain of RUVBL2 in complex with DPCD	Wood E, Ochi T	REL	2026-09-23
EMD-57539	Structure of histone H1 in an import-chaperone complex with importin beta and importin 7	Fu Z, Freytag B, Huyton T, Gorlich D	REL	2026-09-23
EMD-57835	Structure of Importin 7 in complex with RanGTP	Fu Z, Chafra F, Freytag B, Huyton T, Gorlich D	REL	2026-09-23
EMD-58737	INO80 A-module in complex with a DNA mimic foldamer	Daerr F, Lammens K, Lopez Francos A, Brem A, Hopfner KP	REL	2026-09-23
EMD-58993	In-cell structure of the human SSU processome state A'	Zhao X, Mahamid J, Mueller CW	REL	2026-09-23
EMD-59071	In-cell structure of the human pre-60S state D	Zhao X, Mahamid J, Mueller CW	REL	2026-09-23
EMD-59073	In-cell structure of the human pre-60S state F	Zhao X, Mahamid J, Mueller CW	REL	2026-09-23
EMD-59074	In-cell structure of the human pre-60S state G	Zhao X, Mahamid J, Mueller CW	REL	2026-09-23
EMD-59075	In-cell structure of the human pre-60S state G*	Zhao X, Mahamid J, Mueller CW	REL	2026-09-23
EMD-59076	In-cell structure of the human SSU processome state A	Zhao X, Mahamid J, Mueller CW	REL	2026-09-23
EMD-59077	In-cell structure of the human SSU processome state preA1	Zhao X, Mahamid J, Mueller CW	REL	2026-09-23
EMD-59078	In-cell structure of the human SSU processome state postA1-exo	Zhao X, Mahamid J, Mueller CW	REL	2026-09-23
EMD-59080	In-cell structure of the human pre-60S state Ipre	Zhao X, Mahamid J, Mueller CW	REL	2026-09-23
EMD-59081	In-cell structure of the human pre-60S state Ipost	Zhao X, Mahamid J, Mueller CW	REL	2026-09-23
EMD-59082	In-cell structure of the human pre-60S state J	Zhao X, Mahamid J, Mueller CW	REL	2026-09-23
EMD-59083	In-cell structure of the human pre-60S state K	Zhao X, Mahamid J, Mueller CW	REL	2026-09-23
EMD-59084	In-cell structure of the human pre-60S state KCRM1	Zhao X, Mahamid J, Mueller CW	REL	2026-09-23
EMD-59085	In-cell structure of the human pre-60S state L	Zhao X, Mahamid J, Mueller CW	REL	2026-09-23
EMD-59086	In-cell structure of the human SSU processome consensus map	Zhao X, Mahamid J, Mueller CW	REL	2026-09-23
EMD-66480	JP Complex - E. coli MurJ, Levivirus PP7 lysis protein SglPP7	Kohga H, Hosoda K, Tsukazaki T	REL	2026-09-23
EMD-66928	Structure of the CX3CL1.44-US28-GqiN18-scFv16 in the C-state, full chemokine domain modeled	Jude KM, Garcia KC, Tsutsumi N	REL	2026-09-23
EMD-76056	GluA2-GSG1L apo state (LBD-TMD)	Newton TP, Yen LY, Gangwar SP, Sobolevsky AI	REL	2026-09-23
EMD-76057	GluA2-GSG1L open state + RR2b + Glu (LBD-TMD)	Newton TP, Yen LY, Gangwar SP, Sobolevsky AI	REL	2026-09-23
EMD-76085	GluA2-STZ desensitized state with partial agonist FW at 25 degrees C (full-length composite)	Newton TP, Yen LY, Gangwar SP, Sobolevsky AI	REL	2026-09-23
EMD-76088	GluA2-STZ pre-active state with partial agonist kainic acid (KA) at 25 degrees C (full-length composite)	Newton TP, Yen LY, Gangwar SP, Sobolevsky AI	REL	2026-09-23
EMD-76089	GluA2-STZ desensitized state with partial agonist NOW at 25 degrees C (full-length composite)	Newton TP, Yen LY, Gangwar SP, Sobolevsky AI	REL	2026-09-23
EMD-76091	GluA2-STZ pre-active state with partial agonist NOW at 25 degrees C (full-length composite)	Newton TP, Yen LY, Gangwar SP, Sobolevsky AI	REL	2026-09-23
EMD-76096	GluA2-STZ desensitized state with partial agonist FW at 25 degrees C (ATD only)	Newton TP, Yen LY, Gangwar SP, Sobolevsky AI	REL	2026-09-23
EMD-76097	GluA2-STZ desensitized state with partial agonist FW at 25 degrees C (LBD-TMD only)	Newton TP, Yen LY, Gangwar SP, Sobolevsky AI	REL	2026-09-23
EMD-76329	Flagellar motor structure from Borrelia burgdorferi DflhG mutant by subvolume averaging	Guo WB, Liu J	REL	2026-09-23
EMD-53670	Map of M. pneumoniae 70S eT-TC (flexible) in native cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53671	Map of M. pneumoniae 70S eT-TC (stable) in native cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53678	Map of M. pneumoniae 70S eT-TC (flexible RNAP recentered subset) in native cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53688	Consensus map of M. pneumoniae 30S small ribosomal subunit in pseudouridimycin-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53689	Consensus map of M. pneumoniae 50S large ribosomal subunit in pseudouridimycin-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53690	Consensus map of M. pneumoniae 70S ribosome in pseudouridimycin-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53693	Map of M. pneumoniae 30S empty/factorless in pseudouridimycin-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53695	Map of M. pneumoniae 30S IF1/3 tRNA in pseudouridimycin-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53697	Map of M. pneumoniae 30S IF1/2/3 tRNA in pseudouridimycin-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53699	Map of M. pneumoniae 30S iT-TC (stable) in pseudouridimycin-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53700	Map of M. pneumoniae 50S RRF, EF-G in pseudouridimycin-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53701	Map of M. pneumoniae 50S empty/factorless in pseudouridimycin-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53703	Map of M. pneumoniae 50S late/inactive in pseudouridimycin-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53756	Map of M. pneumoniae 30S IF1/3 in fidaxomicin-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53765	Map of M. pneumoniae 50S PTC flipped out in fidaxomicin-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53766	Map of M. pneumoniae 50S RRF in fidaxomicin-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53767	Map of M. pneumoniae 50S trigger factor in fidaxomicin-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53771	Map of M. pneumoniae 70S EF-Tu A/T in fidaxomicin-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53772	Map of M. pneumoniae 70S EF-Tu A/T,E in fidaxomicin-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
